ticker;name;isin;country;currency;gics_sector_name;industry_group;region_en;Weight in MSCI World;Annualized return 20Y;Annualized return 10Y;Annualized return 5Y;Annualized return 1Y;Volatility 20Y;Volatility 10Y;Volatility 5Y;Volatility 1Y;Sharpe 20Y;Sharpe 10Y;Sharpe 5Y;Sharpe 1Y;VaR 99% 20Y;VaR 99% 10Y;VaR 99% 5Y;VaR 99% 1Y;VaR 95% 20Y;VaR 95% 10Y;VaR 95% 5Y;VaR 95% 1Y;CVaR 95% 20Y;CVaR 95% 10Y;CVaR 95% 5Y;CVaR 95% 1Y;Max drawdown 20Y;Max drawdown 10Y;Max drawdown 5Y;Max drawdown 1Y;ROA;ROE;ROIC;Net margin;Gross margin;Dividend payout ratio;Dividend yield;FCF yield;Debt assets;Quick ratio;Current ratio;PE ratio;PB ratio;PS ratio;PCF ratio;ITR;S1_ITR;S2_ITR;S3_ITR;CBN_LCT_SCORE;IVA_COMPANY_RATING;E_SCORE;S_SCORE;G_SCORE;E_CONTROVERSY;S_CONTROVERSY;G_CONTROVERSY;SDG_01_NET_ALIGNMENT_SCORE;SDG_02_NET_ALIGNMENT_SCORE;SDG_03_NET_ALIGNMENT_SCORE;SDG_04_NET_ALIGNMENT_SCORE;SDG_05_NET_ALIGNMENT_SCORE;SDG_06_NET_ALIGNMENT_SCORE;SDG_07_NET_ALIGNMENT_SCORE;SDG_08_NET_ALIGNMENT_SCORE;SDG_09_NET_ALIGNMENT_SCORE;SDG_10_NET_ALIGNMENT_SCORE;SDG_11_NET_ALIGNMENT_SCORE;SDG_12_NET_ALIGNMENT_SCORE;SDG_13_NET_ALIGNMENT_SCORE;SDG_14_NET_ALIGNMENT_SCORE;SDG_15_NET_ALIGNMENT_SCORE;SDG_16_NET_ALIGNMENT_SCORE;SDG_17_NET_ALIGNMENT_SCORE;EST_EU_TAXONOMY_MAX_REV;EU_TAXONOMY_ELIGIBLE_MAX_REV;CWEAP_TIE;TOB_PRODUCER;REP_EU_TAXONOMY_CAPEX_ELIGIBLE;REP_EU_TAXONOMY_OPEX_ELIGIBLE;CT_TOTAL_MAX_REV;SCOPE_1;SCOPE_2;SCOPE_3;FOOTPRINT_SCOPE_1;FOOTPRINT_SCOPE_2;FOOTPRINT_SCOPE_3;INTENSITY_SCOPE_1;INTENSITY_SCOPE_2;INTENSITY_SCOPE_3;EV;SALES
TEAM US Equity;Atlassian Corp;US0494681010;UNITED STATES;USD;Information Technology;Software;North America;0.00056433;0.131471278;0.279796112;0.165644448;0.08841205;0.507393702;0.507393702;0.545382891;0.467684362;0.259110977;0.551437889;0.303721387;0.189042135;-0.084368498;-0.084368498;-0.086947584;-0.079396551;-0.048947093;-0.048947093;-0.053508893;-0.035973875;-0.070740325;-0.070740325;-0.076002963;-0.069596051;-0.715082083;-0.715082083;-0.715082083;-0.469986892;-8.650015232;-43.51693052;-18.76431125;-8.589157006;81.25094531;;0;3.2149;24.93292503;1.176699541;1.176699541;;40.2429;9.05447;30.3046;1.6;1.3;1.3;1.7;6.57;AA;5.4;6.8;5.1;10;6;10;0.5;0;0;0;2;0;1;1;0;1.5;0;1;1.5;0;0;1.5;2;0;0;;0;;;0;487;2835;163859;0.052930954;0.308129886;17.80947265;0.110360283;0.642446409;37.13249601;39016.85437;4412.819433
F US Equity;Ford Motor Co;US3453708600;UNITED STATES;USD;Consumer Discretionary;Auto Manufacturers;North America;0.00056199;0.01741329;0.007852924;0.061859065;-0.081182005;0.414304118;0.354597256;0.430999816;0.35431968;0.042030212;0.022146036;0.143524574;-0.229120789;-0.068480861;-0.06385174;-0.083435424;-0.055017342;-0.035520894;-0.033438943;-0.03920128;-0.032961594;-0.057942621;-0.052190832;-0.061713151;-0.055398375;-0.905372985;-0.703746821;-0.551217569;-0.335991181;1.271436806;7.968118494;2.44001936;1.931127321;7.615065967;88.95985401;7.38636;7.73744;55.50867976;0.982005943;1.147318317;12.0438;0.947049;0.232184;2.85014;1.9;1.6;5.4;1.9;5.09;BB;4.4;2.3;4.9;10;1;6;-2.5;0;-0.5;-0.5;1;2.5;2;-1;-1.5;1;0;3.5;2;0;-0.5;0;2;7.05;94.16;;0;;;7.05;1108815;2389387;60397052;29.52424429;63.62183547;1608.182896;6.281829955;13.53672419;342.1707051;159262.4215;176511.4637
EA US Equity;Electronic Arts Inc;US2855121099;UNITED STATES;USD;Communication Services;Software;North America;0.00056176;0.0581713;0.137025134;0.082409244;0.141203934;0.34747611;0.293485128;0.259821741;0.182995992;0.167410933;0.466889532;0.31717609;0.771623094;-0.058351922;-0.050196427;-0.047458507;-0.034808405;-0.031861088;-0.026555742;-0.023889631;-0.018127822;-0.049040554;-0.04221652;-0.038940058;-0.026639759;-0.831601678;-0.488010627;-0.227353929;-0.127782073;7.961941009;13.96249082;11.15911879;14.1561781;77.50710516;19.51620358;0.529838;4.65207;14.85992692;1.425188375;1.425188375;36.8343;5.0953;5.16376;17.359;2.2;1.3;1.7;2.3;6.34;AA;9;5.8;6.5;10;4;10;0.5;0;0;0.5;2.5;0.5;1;2.5;0;1.5;0;1;1;0;0;0;2;0;0;;0;;;0;3397;19252;1655754.03;0.397242633;2.251314446;193.6226349;0.475967955;2.697478677;231.9946598;36263.7496;7137.0351
TRGP US Equity;Targa Resources Corp;US87612G1013;UNITED STATES;USD;Energy;Pipelines;North America;0.00056097;0.14647083;0.106649472;0.377876167;1.177519544;0.470135402;0.521861832;0.578951051;0.240213716;0.31155031;0.204363426;0.652691046;4.901966305;-0.076506602;-0.078841663;-0.076639586;-0.039494235;-0.037372868;-0.040722416;-0.038602303;-0.021405417;-0.067531727;-0.074872081;-0.079324719;-0.034020052;-0.94769962;-0.942628398;-0.882880768;-0.165429854;5.850798462;48.48031496;7.914848214;9.894747678;22.24709848;45.04179879;1.68908;-0.744729;65.44800446;0.614052449;0.771971225;26.6665;12.5548;1.99355;9.92901;1.5;10;10;1.3;1.52;AA;4.7;8.4;6.6;10;10;10;1;0;0;0.5;1.5;0;-10;2;0.5;1.5;0;-10;-10;0;0;1;2;0;0;;0;;;0;9500000;3700000;33460054.21;858.5491314;334.3822933;3023.905314;602.1493275;234.521317;2120.836752;46923.61518;15776.81742
A US Equity;Agilent Technologies Inc;US00846U1016;UNITED STATES;USD;Health Care;Electronics;North America;0.00056061;0.125457219;0.14728326;0.114720233;0.033229901;0.29698047;0.265759345;0.286218175;0.251087751;0.422442659;0.554197858;0.400813936;0.132343777;-0.052058827;-0.04219352;-0.04727975;-0.03611626;-0.028462464;-0.025760727;-0.027784079;-0.022786046;-0.043097422;-0.038083329;-0.04018444;-0.035678054;-0.688250442;-0.370812782;-0.370812782;-0.18460944;11.35983079;21.95350422;14.25648399;19.80030722;54.66973886;21.32417719;0.724426;2.93858;29.95557791;1.576253298;2.089182058;29.418;6.30104;5.82492;21.6563;1.5;1.3;1.4;1.6;6.22;AA;10;6.6;6.1;10;8;10;1.5;0;0.5;0.5;1.5;2;1;2;0.5;2;0;1.5;2;0;0;1.5;2;0;0;;0;;;0;20460;48159;2162623.38;2.236436347;5.264151419;236.3914727;3.253812137;7.658863084;343.9281623;38795.56668;6288.009
HLN LN Equity;Haleon PLC;GB00BMX86B70;BRITAIN;GBp;Consumer Staples;Cosmetics/Personal Care;Europe;0.00055715;0.012788769;0.025705547;0.051844024;0.244225086;0.206693723;0.206693723;0.206693723;0.168390423;0.061873042;0.124365399;0.250825341;1.45035021;-0.033839661;-0.033839661;-0.033839661;-0.027036489;-0.020940531;-0.020940531;-0.020940531;-0.0154213;-0.030538231;-0.030538231;-0.030538231;-0.022764851;-0.232137937;-0.232137937;-0.232137937;-0.097916128;3.220840734;6.583963691;4.420518029;9.664238764;60.43702256;52.40912933;1.86538;3.63733;26.52413463;0.577524893;0.837482219;27.2697;1.77475;2.63742;16.2075;1.7;1.3;1.3;1.8;6.22;A;5.4;3.4;6.7;10;1;10;0.5;0;2.5;0;2.5;4;1;1.5;-2.5;2.5;0;0;0;-0.5;0;1;3;0;0;;0;;;0;60000;142000;4083113;5.522239338;13.06929977;375.7987872;4.410048354;10.43711444;300.1120961;46075.39185;13605.293
SIKA SE Equity;Sika AG;CH0418792922;SWITZERLAND;CHF;Materials;Building Materials;Europe;0.0005553;0.198582139;0.195905982;0.071234292;-0.209913061;0.292337296;0.258155764;0.287233329;0.203710182;0.679291154;0.758867356;0.248001485;-1.030449531;-0.050419842;-0.044523968;-0.053665324;-0.040440717;-0.027585848;-0.023980313;-0.027778527;-0.021714838;-0.041164826;-0.036249492;-0.042503251;-0.03229588;-0.694515098;-0.449145474;-0.449145474;-0.237285352;7.538335335;22.1264316;10.76735389;10.46052575;31.84116508;48.40271055;1.2057;2.7812;39.75233042;1.014717784;1.428254549;33.2403;6.43544;3.51834;24.1797;2.4;1.3;1.4;2.8;5.53;AA;6;4.4;7.2;10;10;10;1;0;0;0.5;2.5;2.5;1;2.5;1;2.5;0.5;1.5;1;0.5;0;1.5;3;0.93;0;;0;;;0.93;160463;173722;11885988.63;13.59384985;14.71710478;1006.938327;12.85796414;13.92041309;952.4290056;50057.07297;12479.65839
CTSH US Equity;Cognizant Technology Solutions;US1924461023;UNITED STATES;USD;Information Technology;Computers;North America;0.00055359;0.12111883;0.061473846;0.070275865;0.095140517;0.335935263;0.285844502;0.307724237;0.209085919;0.360542173;0.215060445;0.228372863;0.455030723;-0.058116997;-0.049158855;-0.051946636;-0.031504673;-0.029528744;-0.025377259;-0.025661195;-0.019551176;-0.048447529;-0.042179181;-0.044972316;-0.027340102;-0.676664754;-0.448763291;-0.4024663;-0.186738143;11.77731872;16.47764689;14.90403706;11.6010715;31.68658562;26.32685118;1.54185;2.75069;9.239238246;2.227863046;2.227863046;17.0748;2.64886;1.97204;19.7225;1.3;1.3;1.7;1.4;6.62;A;5.9;3.7;6.3;10;4;3;1;0;0;0.5;2.5;0.5;2;1.5;1.5;1.5;0;2;2;0;0;1.5;2;3.35;100;;0;;;3.35;9420;119364;2490931.02;1.084942775;13.74767616;286.8914665;0.502398639;6.366062752;132.8492945;36819.43187;18750.0508
UOB SP Equity;United Overseas Bank Ltd;SG1M31001969;SINGAPORE;SGD;Financials;Banks;Asia-Pacific;0.00055212;0.115876685;0.100106538;0.131217966;0.380316769;0.22515797;0.188049487;0.189747828;0.161929081;0.514646161;0.532341458;0.691538699;2.34866255;-0.038686054;-0.031859762;-0.032322187;-0.023362755;-0.020721444;-0.016937216;-0.015430745;-0.012217246;-0.032051269;-0.02665076;-0.026202411;-0.02136654;-0.624977968;-0.37743643;-0.376055553;-0.099034345;1.114734727;13.15069758;6.444024745;20.56642418;;50.79719294;5.9754;4.80292;11.7660036;;0.571264974;9.19928;1.17586;1.90167;8.50025;2.7;1.3;1.8;2.8;5.91;AA;7.1;4.4;7.1;10;10;4;1;0;0;0.5;2;0;2;2.5;2;2.5;0;1;1.5;0;0;0.5;2;0;0;;0;;;0;4800;70200;14066;0.367027087;5.367771151;1.075542294;0.241147607;3.526783752;0.706662967;55459.52334;19904.8212
YUM US Equity;Yum! Brands Inc;US9884981013;UNITED STATES;USD;Consumer Discretionary;Retail;North America;0.0005491;0.139685982;0.129629838;0.087996423;0.106821022;0.259029641;0.241833767;0.254446875;0.161780566;0.539266401;0.536028692;0.345834167;0.660283401;-0.043063367;-0.039122117;-0.039215098;-0.02355584;-0.023252074;-0.020583081;-0.020071609;-0.014982869;-0.036525376;-0.033916857;-0.03439167;-0.021666382;-0.509394617;-0.509394617;-0.458622608;-0.127148164;24.35365464;;37.7863068;20.92004381;47.42606791;48.91507669;1.87173;1.58725;186.6738895;1.370151771;1.370151771;26.1336;;5.51258;24.5181;3;1.3;5.1;3.3;5.9;BBB;4.9;3.7;5.9;10;4;4;-1;0;-0.5;0;2;1.5;2;0.5;1;0.5;0;0.5;2;-0.5;0;0;1;0;0;;0;;;0;42649.45;144610.46;3884522.53;3.657491628;12.40136852;333.1252486;6.113130318;20.72764332;556.7854321;49449.63686;6976.6957
GMG AU Equity;Goodman Group;AU000000GMG2;AUSTRALIA;AUD;Real Estate;REITS;Asia-Pacific;0.00054803;0.063510369;0.200832972;0.211146357;0.356794544;0.419512216;0.276919718;0.325195021;0.267633145;0.151390987;0.725238974;0.64929148;1.333147822;-0.078872508;-0.043092342;-0.053659404;-0.038160399;-0.032684436;-0.025399525;-0.026899663;-0.02425925;-0.062616251;-0.038847201;-0.046384692;-0.036576715;-0.979357784;-0.49260292;-0.49260292;-0.167170576;-0.412283463;-0.556200738;-0.464066518;-5.04077472;71.65647299;231.6602317;0.863309;0.926571;15.57466889;;;195.367;3.76308;33.5931;55.4515;2.2;1.3;10;2.2;6.29;AA;5.3;7.1;7.7;10;10;10;1;0;0;0.5;2.5;0;1;2;0.5;1;1.5;2;1;0;0;0.5;0;9.03;100;;0;;;9.03;3176;32867;266113.3;0.332121538;3.436976888;27.82807259;2.708309137;28.02707695;226.9260333;40552.39098;1172.6874
EXC US Equity;Exelon Corp;US30161N1019;UNITED STATES;USD;Utilities;Electric;North America;0.00054793;0.058675983;0.084579371;0.075044349;0.146044922;0.253024686;0.248557616;0.287690452;0.174854197;0.231898257;0.340280747;0.260851025;0.835238301;-0.043490558;-0.039057959;-0.046193564;-0.023727666;-0.023710149;-0.022874072;-0.025603603;-0.016243988;-0.037016291;-0.035606987;-0.041540571;-0.022736619;-0.566899948;-0.411052367;-0.411052367;-0.110926819;2.366933068;9.329647547;3.573424311;10.59931955;25.14612231;61.81233774;3.69914;-7.30985;43.43923824;0.970747562;1.086538462;16.7099;1.53079;1.77581;7.33025;1.5;1.3;10;1.8;5.62;AA;7.4;7.2;6.7;10;4;5;0.5;0;-0.5;0;2.5;0;1;1.5;2.5;1.5;2.5;1.5;2;0;0;1;1;10.64;100;;0;;;10.64;413000;4323044;84690675;21.17749852;221.6737479;4342.703739;18.65046213;195.2221996;3824.504182;82700.55118;22144.2234
VLO US Equity;Valero Energy Corp;US91913Y1001;UNITED STATES;USD;Energy;Oil&Gas;North America;0.00054752;0.12759594;0.141029959;0.102890106;0.025458448;0.409826468;0.398541454;0.475282221;0.298339074;0.311341385;0.35386522;0.216482126;0.085333937;-0.06915035;-0.063851001;-0.077585302;-0.04738173;-0.038997384;-0.037602255;-0.04384848;-0.031564702;-0.059259715;-0.05629667;-0.064405053;-0.041858989;-0.808832683;-0.699439767;-0.648057626;-0.317951872;5.95838358;14.37104708;10.35079086;1.104955558;2.215999026;37.9443662;3.13264;10.7151;17.89606174;1.106549876;1.567263695;12.1126;1.69281;0.319298;6.26672;4.1;9.4;10;4;2.22;AA;5.1;7;7.3;4;4;10;0.5;0;-0.5;0.5;2;0.5;-10;1;2.5;1.5;-0.5;-10;-10;-0.5;-1;1.5;1;5.73;100;;0;;;5.73;24900000;5200000;386795500.3;2130.64392;444.9537504;33097.32856;191.6929987;40.03227282;2977.750576;49558.88015;129895.1979
XEL US Equity;Xcel Energy Inc;US98389B1008;UNITED STATES;USD;Utilities;Electric;North America;0.00054687;0.108315605;0.103340161;0.048617438;0.18149605;0.205072252;0.22006666;0.255952431;0.214893735;0.528182646;0.469585721;0.189947162;0.844585115;-0.033796517;-0.034981977;-0.037829182;-0.039182443;-0.019611298;-0.021014123;-0.02334359;-0.017608786;-0.029201145;-0.031257326;-0.036187552;-0.032125353;-0.403032772;-0.403032772;-0.403032772;-0.236924321;2.846635794;10.26158588;4.139524648;18.73111782;29.30513595;64.26066801;3.31164;-8.02017;43.01590509;0.824684193;0.933595084;19.4045;1.93721;2.67681;7.45193;4.1;6.8;9.6;2.2;4.33;AA;6.9;5.9;7.4;10;1;10;0;0;-2.5;0.5;2.5;-0.5;0;-0.5;3.5;2;-2;-1;0.5;-2.5;-2.5;1.5;2;29.47;63.67;;0;;;29.47;36180000;310000;29310000;2444.705011;20.94689202;1980.494855;2717.644469;23.28551093;2201.607501;62758.86955;13312.9997
SYY US Equity;Sysco Corp;US8718291078;UNITED STATES;USD;Consumer Staples;Food;North America;0.00054162;0.069164413;0.102019959;0.012049581;0.132296008;0.261728302;0.294858452;0.365674153;0.186874691;0.26426035;0.345996387;0.03295169;0.707939674;-0.04693163;-0.051733524;-0.057244083;-0.032006419;-0.021722419;-0.02240586;-0.028909596;-0.015121883;-0.037055435;-0.04199534;-0.052653191;-0.026700361;-0.627595667;-0.627595667;-0.625292902;-0.147505907;7.901612669;89.63859159;13.61354076;2.392110916;18.16539738;51.93603126;2.60108;3.04086;51.81607419;0.732418342;1.26343228;19.9671;17.2798;0.481102;12.9778;3.5;1.8;1.9;3.8;6.11;A;5.4;4.4;6.8;6;3;10;0.5;2;0.5;-0.5;1.5;1.5;1;-1.5;1;-0.5;0;2;1.5;0.5;0;-1;1;0.09;0;;0;;;0.09;1064620;253056;29984343.43;91.55262414;21.76169981;2578.521279;13.82813411;3.286893262;389.4605794;49312.47906;76989.41823
OTIS US Equity;Otis Worldwide Corp;US68902V1070;UNITED STATES;USD;Industrials;Machinery-Diversified;North America;0.00054025;0.039886808;0.081249246;0.168320833;0.112678507;0.24765766;0.24765766;0.24765766;0.179733031;0.161056224;0.328070796;0.679651227;0.62692153;-0.041633805;-0.041633805;-0.041633805;-0.030475766;-0.021827444;-0.021827444;-0.021827444;-0.015529902;-0.034252272;-0.034252272;-0.034252272;-0.027588316;-0.186994107;-0.186994107;-0.186994107;-0.107789567;15.79584524;;98.60943168;15.21984216;30.43968433;36.36001395;1.40466;1.79661;73.5698275;0.724959862;0.802148944;25.8853;;2.94641;28.4739;1.6;1.5;2;1.6;5.96;A;4.7;3.8;7.4;10;4;10;0.5;0;-0.5;0;2.5;1;2;1;2;2.5;0;1;2;0;0;1;3;0;100;;0;;;0;129850;47980;7380600;11.70744153;4.325937965;665.4443048;9.463199102;3.496683041;537.882844;47034.11414;13721.5754
HES US Equity;Hess Corp;US42809H1077;UNITED STATES;USD;Energy;Oil&Gas;North America;0.00053922;0.104355027;0.088262868;0.174046042;-0.006690747;0.420184451;0.436417643;0.475717916;0.229276425;0.248355279;0.202244042;0.365859759;-0.029182012;-0.0712112;-0.067987522;-0.074541637;-0.037254347;-0.037513983;-0.039183747;-0.040570391;-0.024332661;-0.059189065;-0.058128517;-0.06383169;-0.034260478;-0.649376444;-0.605550361;-0.57403097;-0.249561219;10.68090788;27.14373843;14.11161001;15.60639298;38.04450016;21.15207319;1.33468;1.04855;36.25204895;1.12585034;1.260884354;15.848;3.86678;3.27984;7.4338;6;10;8.8;5.9;3.52;AAA;6;6.6;4.6;4;4;10;1;0;-0.5;0.5;1.5;0;-10;1.5;1;2;-0.5;-10;-10;-0.5;-1.5;1;4;0;0;;0;;;0;2143394;464296;61626554.13;187.1051821;40.53020006;5379.621121;173.8397247;37.65667386;4998.214608;48579.07119;12329.7135
ARGX BB Equity;Argenx SE;NL0010832176;NETHERLANDS;EUR;Health Care;Biotechnology;Europe;0.00053768;0.23273027;0.535139418;0.322528736;0.720592005;0.448008067;0.45044398;0.426045701;0.333139967;0.519477856;1.188026574;0.757028497;2.163030786;-0.061328034;-0.059643001;-0.060121236;-0.049355394;-0.032799926;-0.032682614;-0.032461097;-0.027910342;-0.050575433;-0.050072202;-0.051755135;-0.039478807;-0.392639269;-0.392639269;-0.392639269;-0.135858051;-5.104609996;-5.72852982;-5.699500471;-3.702443333;88.6467206;;;-0.558229;0.708007701;7.880503333;8.53390816;;6.14366;16.2463;;2.4;1.3;1.3;2.6;6.4;AA;4.6;4.2;7.7;10;10;10;3;0;5;0;2;0;0;0.5;0.5;1;0;0.5;1.5;0;0;0.5;2;0;0;;0;18;0;0;378;183;265542.06;0.074877048;0.03625;52.60054408;0.253023428;0.122495469;177.7469902;21408;1493.932807
GLW US Equity;Corning Inc;US2193501051;UNITED STATES;USD;Information Technology;Telecommunications;North America;0.00053757;0.100387461;0.111391025;0.141057303;0.673810891;0.331277876;0.293484209;0.323670413;0.264597572;0.303030986;0.37954691;0.435805367;2.546549786;-0.058092743;-0.049877999;-0.052786177;-0.034102941;-0.030429493;-0.027186128;-0.02780645;-0.02017286;-0.048078813;-0.041763515;-0.045346863;-0.030597978;-0.734178158;-0.455435854;-0.389868733;-0.186603536;0.551236749;1.384635867;0.810431711;1.237015304;31.48045357;626.3982103;2.48062;0.140048;29.45060377;1.053051542;1.655380634;252.517;3.31011;3.0575;19.0035;2.2;1.3;10;2.2;5.51;BBB;2.9;6.4;4.4;10;8;10;1;0;2.5;0.5;1.5;1;0;2.5;2;2;2.5;4;0.5;0;-0.5;1;2;14.03;92.93;;0;;;14.03;737593;2307014.15;8853607.93;70.93750338;221.8755114;851.4897002;60.55292057;189.3950249;726.8396225;44093.43159;12180.9649
MNST US Equity;Monster Beverage Corp;US61174X1090;UNITED STATES;USD;Consumer Staples;Beverages;North America;0.00053433;0.291274485;0.127685765;0.120722066;-0.026505598;0.403519108;0.27700438;0.262876244;0.235872305;0.721835669;0.460952153;0.459235359;-0.11237266;-0.064389567;-0.045498319;-0.044229157;-0.03574235;-0.033292054;-0.02544497;-0.024142905;-0.018891143;-0.05473582;-0.039564048;-0.038232266;-0.036028328;-0.711629975;-0.300417129;-0.271934326;-0.26280348;18.48627784;23.51670739;22.16528343;19.71952814;53.15328822;0;0;3.15285;10.03653036;2.511693427;3.130367251;33.5175;8.7782;6.92128;26.9794;2.3;1.3;1.3;2.5;5.71;BB;2.8;3.3;6;6;6;10;3.5;2.5;0;0;2;0;0;1;0.5;1.5;0;-1;0.5;-0.5;0;1;2;0;0;;0;;;0;15259;10134;4599135.33;1.327243453;0.881465702;400.0375028;2.131720298;1.415745036;642.5106585;48753.8025;7158.068538
IR US Equity;Ingersoll Rand Inc;US45687V1061;UNITED STATES;USD;Industrials;Machinery-Diversified;North America;0.00053109;0.079698252;0.165504577;0.212450379;0.240587294;0.338197002;0.338197002;0.333765343;0.261280952;0.235656292;0.489373281;0.636526181;0.920799211;-0.055949678;-0.055949678;-0.05694021;-0.047370105;-0.030900089;-0.030900089;-0.029652166;-0.023712471;-0.048804524;-0.048804524;-0.04963614;-0.040757321;-0.508776541;-0.508776541;-0.508776541;-0.154935569;5.027547796;8.461476369;6.142824703;11.90757657;38.68887695;3.888402839;0.0814996;3.19519;26.58819523;1.705733273;2.360441541;47.7107;3.85621;5.58011;27.5097;1.3;1.6;2.9;1.3;6.15;AA;4.8;5.4;7.2;10;10;10;0.5;0;0;0.5;2.5;0.5;2;2;1.5;2.5;0;1;2;0;0;1.5;3;0;100;;0;;;0;53105.12;84961.66;1922997.2;5.363281805;8.580591197;194.2105751;7.681122106;12.28885058;278.1422263;41989.31503;6913.71902
IT US Equity;Gartner Inc;US3666511072;UNITED STATES;USD;Information Technology;Commercial Services;North America;0.00052932;0.213078857;0.205698804;0.270638165;0.140896295;0.322188093;0.292159157;0.333885921;0.22541439;0.661349262;0.704064203;0.810570762;0.625054572;-0.054513764;-0.049387888;-0.058812638;-0.036006853;-0.027811727;-0.026132066;-0.029235697;-0.020374804;-0.046051322;-0.041772745;-0.046332256;-0.032463747;-0.683104105;-0.50312753;-0.484421915;-0.139822581;14.09877127;130.4148787;28.27792082;27.9624956;64.52254454;0;0;3.20954;38.28923771;0.935359278;0.935359278;37.3653;36.8914;6.43671;28.7584;2;1.3;1.4;2.2;6.42;AA;10;7.1;5.9;10;10;10;1;0;0;0.5;2.5;0;1;2.5;0.5;2.5;0;1;2;0;0;2;2;0;91.28;;0;;;0;1246.2;8345.3;1176304.02;0.134275306;0.899187701;126.7441683;0.210184633;1.407521924;198.3959471;39357.23753;5929.072833
NDAQ US Equity;Nasdaq Inc;US6311031081;UNITED STATES;USD;Financials;Diversified Finan Serv;North America;0.00052656;0.190141799;0.19904809;0.193175082;0.417951833;0.353563307;0.244524194;0.274578678;0.184264742;0.537787136;0.814022066;0.703532712;2.26821381;-0.064054182;-0.038999721;-0.047258891;-0.028050415;-0.031699574;-0.022951065;-0.024148025;-0.016702522;-0.051409054;-0.034740851;-0.039281362;-0.023698099;-0.685475039;-0.365253782;-0.365253782;-0.083693041;3.492988527;10.93562917;5.126697316;13.66875713;56.34264538;54.96146723;1.2601;2.20466;33.7565445;;;43.6167;3.78992;6.02538;25.6051;1.5;1.3;1.4;1.5;6.5;AA;10;4.3;7.2;10;10;10;1;0;0;0.5;2.5;1;1;2.5;0.5;2;0;1;2;0;0;2;3;0;18.12;;0;;;0;75.1;18776;884205.81;0.006305417;1.576438293;74.23817094;0.011082001;2.770647849;130.4762956;50507.8769;6776.7544
AAL LN Equity;Anglo American PLC;GB00B1XZS820;BRITAIN;GBp;Materials;Mining;Europe;0.00052599;0.055289176;0.1109447;0.076766146;0.288871002;0.462235657;0.476471531;0.444814632;0.371922403;0.119612529;0.23284644;0.172580083;0.776696964;-0.075268884;-0.082679395;-0.069972941;-0.047154034;-0.042555793;-0.043158513;-0.041757004;-0.035079413;-0.065262424;-0.067995428;-0.062875663;-0.043740681;-0.933171927;-0.820575679;-0.582617976;-0.253646194;-2.461796906;-6.572848173;-3.998889925;-4.647624317;53.11570648;386.5188917;3.89343;0.556363;28.40080113;1.333894737;1.976842105;105.099;1.59154;1.29794;5.1796;3.8;2.4;10;3.9;2.89;A;4;3.9;6.5;4;1;4;-0.5;0;-3.5;0.5;2.5;2;-0.5;-1.5;0.5;2.5;-2.5;0;0.5;-0.5;-1.5;0;2;0;0.69;;0;;;0;7500000;5000000;95800000;594.8520233;396.5680155;7598.243177;265.6323101;177.0882067;3393.010041;53466.9404;28234.5171
NDA FH Equity;Nordea Bank Abp;FI4000297767;FINLAND;EUR;Financials;Banks;Europe;0.00052071;0.05578165;0.063469349;0.142698932;0.041407748;0.320199178;0.258029536;0.279345967;0.200526213;0.174209222;0.245977067;0.51083226;0.206495439;-0.055366091;-0.048089357;-0.050209899;-0.031461243;-0.028923498;-0.024431265;-0.025229692;-0.0203904;-0.046016602;-0.038350861;-0.041808368;-0.027253874;-0.721480433;-0.574579767;-0.441991661;-0.146496815;0.816466882;16.61030436;1.905055241;17.3400904;;66.77796327;8.19526;17.2333;37.4649142;;25.46579961;7.41493;1.20693;1.316;3.83112;2.3;1.3;1.3;2.4;5.45;AA;8.1;4.1;7.3;10;10;5;2;0;0;0;2.5;0;2;3;3;4;0;1;2;0;0;1.5;3;0;0;;0;;;0;1142;6401;16509786.45;0.25554423;1.432345546;3694.37886;0.464270646;2.602273559;6711.917003;18951.03954;2459.77214
DELL US Equity;Dell Technologies Inc;US24703L2025;UNITED STATES;USD;Information Technology;Computers;North America;0.00051931;0.124732006;0.264616666;0.371272347;0.602836638;0.390887681;0.390887681;0.434676722;0.587905021;0.319099352;0.676963432;0.854134415;1.025398009;-0.068242169;-0.068242169;-0.071194849;-0.073289148;-0.032910774;-0.032910774;-0.035254634;-0.044223338;-0.05608636;-0.05608636;-0.059987677;-0.073697612;-0.576637576;-0.576637576;-0.513812186;-0.513812186;4.960808643;;22.93806499;4.359157102;21.90003085;30.13538831;1.30282;1.70514;31.5151737;0.547494949;0.681878788;23.1309;;0.998136;17.1574;2.9;1.3;1.3;3.1;6.21;A;5.3;4;5;10;2;10;1.5;0;0;0;2.5;2.5;2;2.5;2.5;2.5;0;4.5;2;0;0;1;2;0;99.99;;0;;;19.93;38800;331300;47504326.56;1.488923492;12.71341116;1822.946077;0.427297278;3.64854609;523.156429;110507.6531;90803.2931
